firstName,lastName,personId,playerteamCity,playerteamName
Duane,Washington Jr.,1630613,Phoenix,Suns
Trevelin,Queen,1630243,Indiana,Pacers
Kendrick,Nunn,1629134,Los Angeles,Lakers
Steven,Adams,203500,Memphis,Grizzlies
Rui,Hachimura,1629060,Washington,Wizards
Derrick,Favors,202324,Atlanta,Hawks
Sterling,Brown,1628425,Los Angeles,Lakers
John,Wall,202322,Los Angeles,Clippers
Devon,Dotson,1629653,Washington,Wizards
Kevin,Durant,201142,Brooklyn,Nets
Serge,Ibaka,201586,Milwaukee,Bucks
Kemba,Walker,202689,Dallas,Mavericks
Ibou,Badji,1630641,Portland,Trail Blazers
Noah,Vonleh,203943,Boston,Celtics
Zion,Williamson,1629627,New Orleans,Pelicans
Justise,Winslow,1626159,Portland,Trail Blazers
Justin,Champagnie,1630551,Toronto,Raptors
Jarrett,Culver,1629633,Atlanta,Hawks
Chima,Moneke,1631320,Sacramento,Kings
Tyler,Dorsey,1628416,Dallas,Mavericks
Alize,Johnson,1628993,San Antonio,Spurs
Alondes,Williams,1631214,Brooklyn,Nets
Dru,Smith,1630696,Miami,Heat
Kendall,Brown,1631112,Indiana,Pacers
Saben,Lee,1630240,Philadelphia,76ers
A.J.,Lawson,1630639,Minnesota,Timberwolves
Matt,Ryan,1630346,Los Angeles,Lakers
Julian,Champagnie,1630577,Philadelphia,76ers
Facundo,Campazzo,1630267,Dallas,Mavericks
Braxton,Key,1630296,Detroit,Pistons
Jordan,Hall,1631160,San Antonio,Spurs
Kostas,Antetokounmpo,1628961,Chicago,Bulls
Michael,Foster Jr.,1630701,Philadelphia,76ers
Otto,Porter Jr.,203490,Toronto,Raptors
Jordan,Schakel,1630648,Washington,Wizards
Cade,Cunningham,1630595,Detroit,Pistons
Joshua,Primo,1630563,San Antonio,Spurs
Feron,Hunt,1630624,New York,Knicks
