Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
21;LaMelo Ball;PG;21;4;36;36;35.2;8.vlj;20;0.411;4;10.lip;0.376;4.vlj;9.tra;0.45;0.51;2.kol;3.tra;0.836;1.vlj;5.ožu;6.tra;8.tra;1.ožu;0.3;3.lip;3.ožu;23.ožu
22;Mo Bamba;C;24;0;49;7;15.srp;2.tra;4.ruj;0.485;1;2.svi;0.387;1.tra;2.tra;0.59;0.585;0.8;1.ožu;0.661;1.vlj;3.tra;4.lip;0.9;0.3;0.9;0.6;2.sij;6.lip
22;Mo Bamba;C;24;22;40;6;17;2.srp;5.tra;0.495;1.sij;2.srp;0.398;1.lip;2.srp;0.594;0.596;0.9;1.ožu;0.686;1.vlj;3.tra;4.lip;1.sij;0.3;1;0.6;2.vlj;7.ožu
22;Mo Bamba;C;24;14;9;1;9.kol;1.vlj;3;0.407;0.6;1.kol;0.313;0.7;1.vlj;0.545;0.5;0.7;1.vlj;0.545;1.vlj;3.ožu;4.lip;0.4;0.1;0.6;0.9;2.sij;3.srp
23;Paolo Banchero;PF;20;22;72;72;33.8;6.srp;15.lip;0.427;1.vlj;4;0.298;5.svi;11.lip;0.471;0.465;5.svi;7.tra;0.738;1.vlj;5.srp;6.ruj;3.srp;0.8;0.5;2.kol;2.vlj;20
24;Desmond Bane;SG;24;15;58;58;31.srp;7.kol;16.vlj;0.479;2.ruj;7;0.408;4.ruj;9.vlj;0.534;0.568;3.sij;3.svi;0.883;0.7;4.ožu;5;4.tra;1;0.4;2.vlj;2.lip;21.svi
25;Dalano Banton;PG;23;28;31;2;9;1.kol;4.vlj;0.423;0.5;1.lip;0.294;1.ožu;2.svi;0.506;0.481;0.5;0.8;0.708;0.4;1.sij;1.svi;1.vlj;0.4;0.4;0.6;1.sij;4.lip
26;Dominick Barlow;SF;19;27;28;0;14.lip;1.lip;3.sij;0.535;0;0.1;0;1.lip;2.ruj;0.561;0.535;0.6;0.9;0.72;1.lip;2;3.lip;0.9;0.4;0.7;0.5;2;3.ruj
27;Harrison Barnes;PF;30;26;82;82;32.5;4.lip;9.lip;0.473;1.lip;4.ožu;0.374;3;5.ožu;0.553;0.556;4.ožu;5;0.847;1.sij;3.tra;4.svi;1.lip;0.7;0.1;1;1.ožu;15
28;Scottie Barnes;PF;21;28;77;76;34.8;6;13.vlj;0.456;0.8;2.ruj;0.281;5.vlj;10.ožu;0.505;0.487;2.svi;3.vlj;0.772;2.ožu;4.ožu;6.lip;4.kol;1.sij;0.8;2;2.vlj;15.ožu
